"ts";"value"
"2017-02-03 07:55:09.000000";"76,4331"
"2017-02-03 07:55:10.000000";"73,2601"
"2017-02-03 07:55:13.000000";"75,4717"
"2017-02-03 07:55:14.000000";"76,2389"
"2017-02-03 07:55:15.000000";"160,858"
"2017-02-03 07:55:16.000000";"75,7576"
"2017-02-03 07:55:19.000000";"75"
"2017-02-03 07:55:20.000000";"74,2574"
"2017-02-03 07:55:21.000000";"73,4394"
"2017-02-03 07:55:22.000000";"73,0816"
"2017-02-03 07:55:24.000000";"73,0816"
"2017-02-03 07:55:25.000000";"74,7198"
"2017-02-03 07:55:26.000000";"74,0741"
"2017-02-03 07:55:28.000000";"74,0741"
"2017-02-03 07:55:30.000000";"74,0741"
"2017-02-03 07:55:32.000000";"75,5667"
"2017-02-03 07:55:34.000000";"75"
"2017-02-03 07:55:35.000000";"74,4417"
"2017-02-03 07:55:36.000000";"75,5667"
"2017-02-03 07:55:37.000000";"75"
"2017-02-03 07:55:39.000000";"75"
"2017-02-03 07:55:40.000000";"41,958"
"2017-02-03 07:55:42.000000";"41,0116"
"2017-02-03 07:55:43.000000";"76,2389"
"2017-02-03 07:55:47.000000";"76,0456"
"2017-02-03 07:55:48.000000";"76,8246"
"2017-02-03 07:55:49.000000";"79,0514"
"2017-02-03 07:55:53.000000";"79,0514"
"2017-02-03 07:55:58.000000";"79,0514"
"2017-02-03 07:56:00.000000";"79,0514"
"2017-02-03 07:56:02.000000";"79,0514"
"2017-02-03 07:56:03.000000";"47,7707"
"2017-02-03 07:56:11.000000";"79,6813"
"2017-02-03 07:56:12.000000";"77,821"
"2017-02-03 07:56:16.000000";"77,0218"
"2017-02-03 07:56:18.000000";"77,0218"
"2017-02-03 07:56:21.000000";"77,0218"
"2017-02-03 07:56:26.000000";"77,0218"
"2017-02-03 07:56:31.000000";"77,0218"
"2017-02-03 07:56:32.000000";"61,9835"
"2017-02-03 07:56:33.000000";"67,1892"
"2017-02-03 07:56:34.000000";"70,34"
"2017-02-03 07:56:35.000000";"49,3016"
"2017-02-03 07:56:36.000000";"139,535"
"2017-02-03 07:56:37.000000";"172,911"
"2017-02-03 07:56:38.000000";"83,5655"
"2017-02-03 07:56:40.000000";"83,1025"
"2017-02-03 07:56:41.000000";"107,143"
"2017-02-03 07:56:42.000000";"45,1128"
"2017-02-03 07:56:43.000000";"108,696"
"2017-02-03 07:56:57.000000";"177,515"
"2017-02-03 07:56:58.000000";"130,719"
"2017-02-03 07:56:59.000000";"75"
"2017-02-03 07:57:00.000000";"139,535"
"2017-02-03 07:57:01.000000";"79,1557"
"2017-02-03 07:57:02.000000";"90,7716"
"2017-02-03 07:57:03.000000";"137,931"
"2017-02-03 07:57:05.000000";"137,3"
"2017-02-03 07:57:06.000000";"74,7198"
"2017-02-03 07:57:07.000000";"40,3226"
"2017-02-03 07:57:08.000000";"93,8967"
"2017-02-03 07:57:09.000000";"57,4713"
"2017-02-03 07:57:10.000000";"77,3196"
"2017-02-03 07:57:11.000000";"75,8533"
"2017-02-03 07:57:12.000000";"94,3396"
"2017-02-03 07:57:13.000000";"124,481"
"2017-02-03 07:57:15.000000";"124,224"
"2017-02-03 07:57:16.000000";"77,7202"
"2017-02-03 07:57:18.000000";"77,0218"
"2017-02-03 07:57:19.000000";"89,955"
"2017-02-03 07:57:20.000000";"73,5294"
"2017-02-03 07:57:25.000000";"111,732"
"2017-02-03 07:57:29.000000";"78,4314"
"2017-02-03 07:57:30.000000";"87,3362"
"2017-02-03 07:57:31.000000";"70,1754"
"2017-02-03 07:57:32.000000";"78,125"
"2017-02-03 07:57:33.000000";"49,3827"
"2017-02-03 07:57:34.000000";"68,1044"
"2017-02-03 07:57:53.000000";"41,7246"
"2017-02-03 07:58:15.000000";"80,6452"
"2017-02-03 07:58:18.000000";"74,9064"
"2017-02-03 07:58:19.000000";"81,9672"
"2017-02-03 07:58:24.000000";"172,414"
"2017-02-03 07:58:25.000000";"46,9117"
"2017-02-03 07:58:26.000000";"68,1044"
"2017-02-03 07:58:27.000000";"49,2207"
"2017-02-03 07:58:28.000000";"99,5025"
"2017-02-03 07:58:29.000000";"102,041"
"2017-02-03 07:58:30.000000";"67,0391"
"2017-02-03 07:58:32.000000";"67,0391"
"2017-02-03 07:58:33.000000";"73,7101"
"2017-02-03 07:58:36.000000";"73,0816"
"2017-02-03 07:58:39.000000";"73,0816"
"2017-02-03 07:58:41.000000";"73,0816"
"2017-02-03 07:58:42.000000";"104,167"
"2017-02-03 07:58:43.000000";"64,9351"
"2017-02-03 07:58:44.000000";"79,1557"
"2017-02-03 07:58:45.000000";"77,0218"
"2017-02-03 07:58:46.000000";"138,249"
"2017-02-03 07:58:47.000000";"136,364"
"2017-02-03 07:58:48.000000";"63,8298"
"2017-02-03 07:58:49.000000";"112,15"
