"ts";"lat";"lon";"alt";"hdg";"spd";"LOD"
"2017-02-03 07:22:41.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:43.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:45.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:47.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:49.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:51.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:53.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:55.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:57.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:59.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:01.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:03.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:05.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:07.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:08.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:10.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:12.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:14.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:16.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:18.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:25.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:27.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:29.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:31.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:33.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:35.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:37.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:39.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:41.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:43.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:45.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:47.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:49.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:51.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:53.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:55.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:57.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:23:59.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:24:01.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:24:03.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:24:05.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:24:07.000000";"38.7415";"-9.16444";"63";"95";"0";"1"
"2017-02-03 07:24:09.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:24:10.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:24:12.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:24:14.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:24:16.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:24:18.000000";"38.7415";"-9.16443";"73";"213";"3.6";"0"
"2017-02-03 07:24:20.000000";"38.7415";"-9.16445";"73";"228";"6.8";"0"
"2017-02-03 07:24:22.000000";"38.7415";"-9.16448";"74";"242";"7.4";"0"
"2017-02-03 07:24:24.000000";"38.7415";"-9.16453";"75";"262";"7.1";"0"
"2017-02-03 07:24:26.000000";"38.7415";"-9.16458";"75";"282";"10";"0"
"2017-02-03 07:24:28.000000";"38.7415";"-9.16465";"76";"278";"13.5";"0"
"2017-02-03 07:24:30.000000";"38.7415";"-9.16476";"77";"279";"19.6";"0"
"2017-02-03 07:24:32.000000";"38.7415";"-9.16488";"78";"283";"17.3";"0"
"2017-02-03 07:24:34.000000";"38.7415";"-9.165";"79";"289";"17.6";"0"
"2017-02-03 07:24:36.000000";"38.7416";"-9.1651";"79";"271";"16.2";"0"
"2017-02-03 07:24:38.000000";"38.7416";"-9.1652";"81";"262";"13.2";"0"
"2017-02-03 07:24:40.000000";"38.7415";"-9.16527";"81";"253";"10.5";"0"
"2017-02-03 07:24:42.000000";"38.7415";"-9.16533";"83";"247";"11.5";"0"
"2017-02-03 07:24:44.000000";"38.7415";"-9.16541";"84";"248";"12.5";"0"
"2017-02-03 07:24:45.000000";"38.7415";"-9.16548";"85";"238";"14.3";"0"
"2017-02-03 07:24:47.000000";"38.7414";"-9.16554";"85";"230";"15";"0"
"2017-02-03 07:24:49.000000";"38.7414";"-9.16562";"86";"233";"15.4";"0"
"2017-02-03 07:24:51.000000";"38.7413";"-9.16571";"88";"240";"14.4";"0"
"2017-02-03 07:24:53.000000";"38.7413";"-9.16574";"88";"236";"12.8";"0"
"2017-02-03 07:24:55.000000";"38.7413";"-9.16581";"90";"237";"14.3";"0"
"2017-02-03 07:24:57.000000";"38.7412";"-9.1659";"91";"246";"13.6";"0"
"2017-02-03 07:24:59.000000";"38.7412";"-9.16596";"91";"229";"11.1";"0"
"2017-02-03 07:25:01.000000";"38.7412";"-9.16599";"92";"231";"4";"0"
"2017-02-03 07:25:08.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:10.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:12.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:14.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:16.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:18.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:20.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:22.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:24.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:26.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:28.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:30.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:32.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:34.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:36.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:38.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:40.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:41.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:43.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:45.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:47.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:49.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:51.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:53.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:55.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:57.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:25:59.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:01.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:03.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:05.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:07.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:09.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:11.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:13.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:15.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:17.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:19.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:21.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:23.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:25.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:27.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:29.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:31.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:32.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:34.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:36.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:38.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:40.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:42.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
"2017-02-03 07:26:44.000000";"38.7412";"-9.16597";"82";"231";"0";"0"
