"ts";"duration"
"2017-02-03 10:06:20.000000";"13575"
"2017-02-03 10:06:35.000000";"4057"
"2017-02-03 10:06:40.000000";"10333"
"2017-02-03 10:07:14.000000";"1486"
"2017-02-03 10:07:45.000000";"2427"
"2017-02-03 10:07:50.000000";"2232"
"2017-02-03 10:07:53.000000";"6279"
"2017-02-03 10:08:00.000000";"11289"
"2017-02-03 10:08:14.000000";"11924"
"2017-02-03 10:08:47.000000";"17590"
"2017-02-03 10:09:47.000000";"2511"
"2017-02-03 10:10:12.000000";"2945"
"2017-02-03 10:10:18.000000";"7796"
"2017-02-03 10:10:35.000000";"6308"
"2017-02-03 10:10:42.000000";"2625"
"2017-02-03 10:11:00.000000";"9403"
"2017-02-03 10:11:12.000000";"1204"
"2017-02-03 10:11:21.000000";"1038"
"2017-02-03 10:11:28.000000";"1122"
"2017-02-03 10:11:30.000000";"2982"
"2017-02-03 10:11:34.000000";"2435"
"2017-02-03 10:11:37.000000";"1303"
"2017-02-03 10:11:41.000000";"16897"
"2017-02-03 10:11:58.000000";"2393"
"2017-02-03 10:12:03.000000";"1014"
"2017-02-03 10:12:13.000000";"5066"
"2017-02-03 10:12:21.000000";"1157"
"2017-02-03 10:12:23.000000";"2364"
"2017-02-03 10:12:58.000000";"3378"
"2017-02-03 10:13:05.000000";"10485"
"2017-02-03 10:13:17.000000";"3608"
"2017-02-03 10:13:26.000000";"1802"
"2017-02-03 10:13:28.000000";"1843"
"2017-02-03 10:13:47.000000";"30165"
"2017-02-03 10:14:22.000000";"1744"
"2017-02-03 10:14:30.000000";"1006"
"2017-02-03 10:14:45.000000";"2044"
"2017-02-03 10:14:52.000000";"1311"
"2017-02-03 10:15:19.000000";"5612"
"2017-02-03 10:15:27.000000";"6784"
"2017-02-03 10:15:43.000000";"3824"
"2017-02-03 10:15:50.000000";"4246"
"2017-02-03 10:16:15.000000";"6267"
"2017-02-03 10:16:40.000000";"12660"
"2017-02-03 10:16:55.000000";"5506"
"2017-02-03 10:17:01.000000";"4107"
"2017-02-03 10:17:22.000000";"7244"
"2017-02-03 10:17:34.000000";"5341"
"2017-02-03 10:17:40.000000";"1490"
"2017-02-03 10:17:42.000000";"1519"
"2017-02-03 10:17:44.000000";"1572"
"2017-02-03 10:18:06.000000";"2864"
"2017-02-03 10:18:09.000000";"1058"
"2017-02-03 10:18:47.000000";"1257"
"2017-02-03 10:19:17.000000";"15137"
"2017-02-03 10:19:36.000000";"3117"
"2017-02-03 10:20:14.000000";"7830"
"2017-02-03 10:20:22.000000";"2635"
"2017-02-03 10:20:32.000000";"3749"
"2017-02-03 10:20:32.000000";"3749"
"2017-02-03 10:20:40.000000";"3347"
"2017-02-03 10:20:52.000000";"2873"
"2017-02-03 10:21:04.000000";"4241"
"2017-02-03 10:21:10.000000";"4257"
"2017-02-03 10:21:16.000000";"2247"
"2017-02-03 10:21:18.000000";"2545"
"2017-02-03 10:21:24.000000";"1664"
"2017-02-03 10:21:34.000000";"1540"
"2017-02-03 10:21:39.000000";"8296"
"2017-02-03 10:21:47.000000";"4910"
"2017-02-03 10:22:02.000000";"7284"
"2017-02-03 10:22:09.000000";"17947"
"2017-02-03 10:22:36.000000";"28550"
"2017-02-03 10:23:07.000000";"3391"
"2017-02-03 10:23:20.000000";"1758"
"2017-02-03 10:23:22.000000";"3584"
"2017-02-03 10:23:31.000000";"12889"
